GSISID,Number,Position
33738,41,LB
28441,32,SS
31678,40,SS
30048,90,DE
28825,11,WR
32115,83,WR
27067,25,FS
31939,31o,RB
32884,51,MLB
33041,25,CB
30093,60,DT
29004,25,RB
28022,54,ILB
30456,25,RB
31188,24,CB
33640,43o,FB
31462,86,TE
33452,47,MLB
31826,38,RB
33213,41,DB
27668,51,ILB
29177,40,SS
27663,50,ILB
27743,27,CB
32970,48,OLB
33430,31,CB
32472,38,FB
32256,88,TE
30411,26,CB
31754,32D,FS
33739,1,WR
31291,86,WR
33880,90,DE
29898,01d,CB
32332,38,DB
33195,48o,RB
30412,25,SS
30914,83,WR
33649,43,SS
32371,20,RB
31397,24,SS
32215,57,OLB
31175,55,DE
31854,14,WR
30559,33,SS
33235,39o,FB
32566,93,DT
31740,46,ILB
31864,86,TE
30881,57,OLB
33553,30o,RB
33295,25,RB
33180,9,WR
33147,58,ILB
33460,15,WR
28017,80,WR
33953,49w,TE
33443,25,SS
30427,36,FS
33828,37d,CB
31186,25,CB
31900,45,RB
27840,35,CB
27861,26o,RB
30982,47,CB
29643,59,OLB
33905,65,DT
33411,82,WR
31585,80,TE
29795,30,RB
30405,9,P
32496,33d,SS
32498,45,CB
33381,70,DT
32009,10,WR
33048,35,SS
31876,2,P
29744,45,ILB
32525,26,FS
33746,79,DE
31482,43d,OLB
27691,12,WR
33360,86,TE
26944,24,CB
32677,58,ILB
31254,96,DT
30282,30,RB
32360,37,CB
25405,20,CB
29799,56,DE
28091,14,WR
30990,13,WR
32802,43d,ILB
32012,15,WR
31170,93,DT
29409,95,OLB
29294,31d,CB
28092,25,CB
33973,47,OLB
28130,5,P
30519,39,CB
33538,72,T
33978,4,P
31782,17,WR
27224,46,LS
32684,91,DE
32322,27,FS
29336,10,WR
27725,84,TE
31785,32,CB
33376,42,DT
29033,8,WR
32437,54,OLB
28173,38,SS
31996,82,TE
34025,02o,WR
33589,83,WR
30286,58,OLB
26672,50,OLB
33783,23,CB
30109,48,OLB
32980,84,WR
30263,34d,CB
27256,26,SS
33010,92,DT
24306,92,DE
31913,18,WR
32269,96,DE
31338,29,SS
29979,58,OLB
25555,36,FS
30556,37,CB
33655,18,WR
33613,45,RB
30463,56,OLB
31957,99,DT
29542,24,CB
29294,31,CB
31548,30,CB
29714,49,LS
28441,23,SS
31619,95,DE
29214,39,CB
31081,91,DE
31290,53,MLB
32733,42,OLB
31628,27d,CB
32372,5,WR
27882,21,CB
31021,84,WR
33885,85,TE
33762,41o,RB
29612,38,RB
27069,80,TE
32117,84,TE
34042,47,DB
32829,46,CB
29529,24,CB
34016,37o,RB
32697,39,FS
30548,35,SS
31531,40o,RB
29304,3,P
31645,10,WR
32508,89,TE
29129,8,WR
28536,50,LB
29329,23,CB
29729,46o,FB
32644,1,P
32212,23,CB
30792,64,G
33556,29o,RB
31372,29,CB
33309,3,WR
31253,24,CB
32435,69,DT
31860,37,FS
30523,36,CB
31773,47,CB
32521,31,CB
31738,39,SS
33291,16,WR
33900,20,DB
33808,42,S
27115,29,FS
31657,27,FS
28202,25,RB
32513,50,LB
28767,41,CB
27872,25,CB
30789,26,RB
32442,52,ILB
30384,44,OLB
31811,42d,S
26832,52,OLB
31813,45,FB
28767,24,CB
30502,47,OLB
33271,69d,DE
28795,34,RB
31328,35,CB
33615,48o,TE
32251,23,FS
33967,39,RB
31994,44,LS
30421,51,OLB
31847,52,OLB
30575,29,CB
28411,15,WR
29479,59,OLB
31158,25,RB
28031,23,FS
33719,43,RB
32211,16,WR
24272,17,WR
32672,36,RB
29575,36,FS
30396,56,OLB
32392,81,TE
27057,15,WR
30644,43,S
31951,80,TE
32667,95,DE
30538,37,SS
30069,97,DE
31118,10,WR
33188,54,LB
33424,49,MLB
31057,25o,RB
32895,57,OLB
27958,99,DE
33604,81,WR
32615,49,LS
31025,15,WR
30802,20,CB
32107,95,DE
32653,2,WR
27957,20,CB
31814,96,OLB
29308,87,TE
33523,95,DE
31818,15,WR
31156,48,LS
32531,7,P
33266,87,WR
31383,41,CB
32350,42,SS
31950,57,OLB
31040,52,OLB
31608,28,SS
30700,54,ILB
27865,55,DE
30892,69,DT
30577,96,DT
31702,59,ILB
28278,57,ILB
32496,41,SS
25401,24,CB
29529,21,CB
30131,40d,OLB
32426,36,RB
33076,26,SS
32257,29,RB
32900,85,TE
30400,15,WR
27652,20,FS
33432,41,CB
32868,61d,OLB
32137,38,DB
32365,82,WR
33356,55,LB
24258,41,SS
33038,21,FS
27816,87,WR
33339,36,SS
33941,3,FS
33047,30,CB
34000,80,TE
32228,49,LS
32864,49o,TE
27988,40,FS
31140,83,TE
31533,86,TE
33648,89,TE
24227,92,DT
29205,38,RB
33324,64,DE
27831,44d,ILB
30385,50,ILB
31934,19,WR
28172,54,OLB
26994,91,DE
33050,25,CB
30382,51,MLB
32131,95,DT
31922,86,TE
27081,27,FS
32098,83,TE
33124,23,CB
28003,97,DT
33520,34,CB
29984,6,P
32402,91,DT
33142,6,WR
30770,50,MLB
33315,46o,TE
31989,29,SS
27044,90,DE
30691,88,WR
31684,14,WR
30644,35,S
33997,41,OLB
30410,3,P
31189,13,WR
31768,37o,RB
30290,17,WR
29729,35,FB
31577,37,RB
27002,52,OLB
29048,29,RB
33091,26,CB
31968,88,TE
30685,33,RB
33220,35d,S
32150,20,CB
32881,87,WR
33541,97,DE
33324,64d,DE
33939,45,OLB
27155,23,RB
31327,81,WR
29391,84,TE
32664,48d,MLB
30640,46,SS
33945,50,OLB
30650,41,OLB
30697,98,DT
28050,11,WR
33940,94,DT
31733,30,CB
33091,20,CB
29658,38,CB
33084,38d,CB
26160,21,CB
24348,95,DT
32089,82,TE
31968,45o,TE
26714,57o,LS
31236,10,WR
32949,94,DE
31525,49,LB
28121,31o,RB
30090,23,SS
31166,10,WR
32592,20D,SS
28059,43,FS
30801,16,WR
33608,35d,CB
33267,31,CB
33790,50,OLB
33125,53,MLB
32195,41,CB
32430,89,TE
32782,28o,RB
33796,37o,RB
33056,57,OLB
31680,35,SS
33559,80,TE
32379,28,CB
33466,84,WR
30287,38o,RB
29669,54,OLB
31186,20,CB
33772,89,WR
31258,97,OLB
32650,81,TE
33025,30,RB
32964,39,RB
30696,9,P
30421,91,OLB
30405,18,P
32876,81,WR
30240,7,WR
32267,32,CB
31551,91,NT
32663,33d,CB
33269,2,P
29844,57,OLB
27881,55,DE
30401,47,OLB
31084,37,LB
33674,36,S
33366,16,WR
31016,37,CB
31770,28,S
29626,22,RB
31861,43,FB
33434,85,WR
32894,49,ILB
30529,55,ILB
27685,10,WR
30776,72,DE
32298,48,RB
33413,38,RB
30131,40,OLB
33495,43,S
29614,19,WR
32676,35,CB
26298,47,TE
22455,48,LS
28100,56,OLB
33306,83,WR
32679,19,WR
30539,27,CB
33463,58,DE
33096,90,DE
30507,96,NT
32978,31D,CB
33103,25,CB
30675,25,CB
30558,51,OLB
33294,36,FS
30670,16,WR
31907,39,CB
30027,49d,OLB
33404,76,LB
32902,27,RB
33914,47,OLB
30687,45,OLB
33475,48D,LB
31331,28,CB
29770,54,ILB
30539,21,CB
32578,74,DT
32468,47,LB
32987,41d,CB
27991,99,DT
33567,25,RB
30196,38,SS
33955,33,RB
31331,40,CB
28083,32,RB
27733,31,SS
28015,99,DT
32448,64d,DE
29729,46,FB
23853,5,K
26957,46o,TE
32050,43,FS
29033,14,WR
31609,86,TE
32749,39,FS
29690,22,CB
33442,36,CB
31276,37d,CB
30455,98,DT
30556,23,CB
32439,42,LS
33062,33,RB
32683,43,DB
32060,58,OLB
28019,43,CB
31962,15,WR
27745,92,NT
31806,34,RB
32839,17,WR
31733,41,CB
27033,99,DE
28249,11,WR
25472,92,NT
33405,5,CB
31425,91,OLB
32964,39o,RB
33024,67,DE
31158,34,RB
33860,56,DT
29747,31,FS
27723,96,NT
33699,30,RB
30079,98,DE
31929,53,OLB
33410,32,CB
22017,5,P
22999,29,FB
32661,84,TE
33453,38,CB
27744,22,CB
27941,99,NT
28834,52,OLB
30112,40,FB
27968,96,DE
24061,22,CB
29601,82,TE
32650,88,TE
30104,50,ILB
29612,43o,RB
32593,34,RB
32602,21,WR
31102,26,RB
30161,30,SS
32417,28,RB
29744,57,ILB
32851,45d,ILB
31414,30,CB
31560,11,WR
30181,84,TE
31911,59,LS
32914,46,TE
31624,51,OLB
33405,33,CB
25506,73,G
32857,48,LS
30380,93,DE
29793,86,TE
32986,49o,TE
31763,14,WR
33366,88,WR
31255,96,OLB
27730,54,LB
31171,52,MLB
31629,28,SS
32958,34,SS
32347,83,TE
32627,52,OLB
31946,55,LB
33028,45,LB
30294,22,SS
33729,1,P
33969,60,DE
32618,89,TE
26990,27,SS
31811,42,S
32111,47,OLB
33571,58,OLB
31826,43,RB
32545,45,LB
33540,98,DE
28434,89,WR
33628,45,CB
32860,68d,DE
29888,26,CB
32994,57,OLB
29617,46,OLB
25434,52,OLB
33121,93,ILB
32856,35,CB
32438,26,CB
30916,36,SS
33986,43,LB
30039,30o,RB
28954,21,SS
29639,30,CB
31389,20,FS
33086,49,LB
32290,37,CB
32621,87,WR
33024,63,DE
30519,4,CB
32820,62,ILB
33857,19,WR
33040,10,WR
31343,29,SS
27704,56,ILB
33084,29,CB
31338,23,SS
27557,46,LS
32657,99,DE
32912,88,WR
32673,36d,S
26105,95,DE
33985,33d,CB
33200,9,P
32708,47,LB
30391,25,RB
33043,86,TE
25630,46,LS
32747,44,RB
33481,19,WR
33115,44,LS
33815,1,WR
31801,18,WR
32034,90,DT
33917,58,DE
31328,37,CB
31678,25,SS
33659,43,ILB
33397,35d,S
29287,59,ILB
31959,34o,RB
32944,41,S
33557,44,OLB
30756,43o,RB
31052,26,CB
33794,44,OLB
31866,79,DE
31511,11,WR
31867,50,S
32057,29,SS
32735,26,CB
32505,1,P
33409,16,WR
33908,18,WR
31799,41,FS
31753,22,CB
33214,48,LB
33140,49,ILB
31915,53,ILB
29414,85,TE
32508,84,TE
33977,39,DB
31313,58,MLB
32343,36,SS
33055,20,CB
33611,86,TE
26945,39,CB
29795,23,RB
29657,96,DT
33482,06d,CB
27980,50,DE
31326,10,WR
32341,81,WR
32847,15,WR
29319,11,WR
30424,54,DE
32643,23,CB
28091,12,WR
33786,98,DT
32438,49,CB
32213,57,LB
32716,86o,TE
29239,38,RB
31344,14,WR
33716,46,MLB
31531,35o,RB
32333,16,WR
32482,45,WR
33849,46,ILB
28000,30,RB
30451,25,CB
32486,46o,LS
31956,56,OLB
27718,80,TE
34048,34d,CB
30450,11,WR
32871,75,NT
27940,58,OLB
30160,95,OLB
32757,35d,CB
29740,80,TE
30127,31,CB
27962,94,DE
33898,21,SS
27125,86,TE
33282,10,WR
29562,54,OLB
31754,31,FS
24232,52,OLB
32132,76,G
23298,91,LS
33765,51,ILB
27654,17,WR
32082,40,RB
26294,43,OLB
30682,27,FS
22045,23,CB
30280,34,RB
30572,31,CB
31716,4,P
30449,92,DT
31080,39,CB
32674,55,OLB
27840,27,CB
32704,36,CB
23750,94,DE
32875,46,CB
31273,84,TE
30699,30,CB
30659,17,WR
33468,45,ILB
33239,49,S
33155,38,SS
31173,26,SS
31018,52,ILB
27136,30,CB
31346,78,DT
32465,21,CB
33556,29,RB
31713,94,DT
27871,56,OLB
31304,93,DE
26232,56,DE
28237,15,WR
33193,25,RB
26983,88,WR
31312,39,FS
29647,51,OLB
32134,87,TE
28051,38,CB
32730,47,DE
28872,6,P
27232,35d,FS
24272,14,WR
34031,35,CB
33086,51,LB
27835,20,SS
31688,35d,CB
32198,39,FS
29641,98,DE
26852,36,FB
29159,15,WR
27495,96,DE
33403,75,DE
30768,46d,ILB
30528,23,CB
33921,12,WR
34015,02o,WR
30091,12,WR
32609,9,WR
30650,35,OLB
34024,49o,TE
29910,82,TE
32491,54,OLB
33492,34d,CB
29608,13,WR
31870,29,SS
32663,39,CB
28063,7,RB
32593,31o,RB
33941,25,FS
32006,85,TE
32602,37,WR
33393,42,CB
33961,49,OLB
22824,2,P
26493,46,LS
30471,36,SS
33973,56,OLB
32793,29,SS
30088,92,NT
30049,89,TE
32115,13,WR
33710,43d,CB
30273,65,G
32284,66,LB
31098,39,FS
29417,93,DE
31511,18,WR
30090,33,SS
26764,14,WR
33115,62,LS
30282,30o,RB
31015,23,CB
29493,9,P
32972,23,RB
31844,22,SS
32449,4,P
32873,27,S
29629,54,ILB
33231,7,WR
31264,94,DE
29087,23,CB
30523,21,CB
30275,30,CB
33395,29,CB
27701,97,DE
28038,21,SS
33978,04s,P
31755,28,SS
30050,55,OLB
31961,46,MLB
31687,35,RB
29693,54,DE
31757,8,WR
27197,49,LS
28024,97,DE
29545,57,OLB
32480,75,DE
32108,23,FS
33123,91,DE
30491,39,SS
32498,47,CB
32398,10,WR
33269,02d,P
32804,36,RB
31112,5,K
32120,85,TE
33086,59,LB
33784,39,FS
33635,47,OLB
33706,82,WR
32417,39o,RB
30371,44,DE
31598,86,TE
32426,34,RB
30142,9,P
30854,86,TE
30541,33,CB
32918,30,FB
33415,2,FS
30113,12,WR
24338,94,NT
32960,48,OLB
32130,45,FB
33420,58,MLB
32371,22o,RB
32848,25D,CB
30563,45,OLB
29289,56,ILB
32464,84,WR
32643,39,CB
32916,24,CB
30469,39,CB
33304,32,RB
27680,31,SS
29129,81,WR
31614,58,OLB
31862,49,ILB
24429,21,CB
27573,98,DE
30240,16,WR
32265,97,DE
32439,42O,LS
32239,31,CB
27885,98,NT
27925,46,FB
31420,2,P
31657,43,FS
32937,13,WR
30073,27,SS
32129,58,MLB
32464,19,WR
32728,06o,WR
31818,12,WR
23441,24,CB
33191,50,LB
32143,55,DT
30106,52,DT
29876,38,CB
30957,42,LS
33299,31d,CB
33456,61,DE
30634,49m,OLB
33671,38,CB
29065,29,CB
33181,47,DB
28149,49,FB
31676,94,DT
33268,40,RB
32880,57,LB
30518,52,DE
33082,62,G
24030,92,DT
31947,95,NT
33530,19,WR
30705,40,RB
28443,57,OLB
31312,30,FS
29134,48,LS
31021,10,WR
32940,33,RB
26175,24,CB
33710,30,CB
28075,41,CB
31101,48,OLB
30551,6,P
28082,49,SS
26393,45,FB
33770,34,CB
30527,52,ILB
30064,57,ILB
33078,81,WR
31796,22,CB
31878,40,CB
32743,46,TE
33044,43,CB
31793,39o,RB
32682,49,MLB
28103,92,OLB
33069,13,WR
31235,13,WR
33348,39,RB
27812,57,OLB
32543,12,WR
26957,82,TE
31304,94,DE
33338,82,TE
33087,86,WR
33129,94,DE
33079,80,WR
32277,16,WR
33001,36,SS
32080,2,WR
29815,51,OLB
33094,17,WR
33298,55,DE
33931,42,FS
28069,31,CB
33040,81,WR
32059,25,CB
31334,22,CB
27975,93,DE
32320,41,SS
27378,42,SS
31949,27,CB
30274,16,WR
31020,40,CB
32967,92,DT
33037,92,DT
28845,47,LS
27997,15,WR
33543,22,CB
29053,56,DE
32724,11,WR
30710,47,TE
27812,97,OLB
33775,58,OLB
32425,52,MLB
33222,87,CB
31039,53,C
33157,42,S
26283,32,CB
23564,43,RB
31613,56,LB
32888,42,SS
31491,52,ILB
29942,20,CB
29755,87,TE
29329,27,CB
28899,23,FS
25396,19,WR
31882,43,SS
30573,91,DT
33306,1,WR
30897,6,WR
33215,13,WR
32979,50,ILB
31625,35o,RB
30761,48,ILB
32165,22,CB
24217,22,RB
32271,20,CB
33925,27,RB
27187,43,LS
31041,23,CB
30288,34o,RB
32817,83,WR
34034,4,WR
31999,53,OLB
32062,84,TE
33402,18,WR
28918,89,WR
33006,19,WR
31009,18,WR
31875,32,RB
28116,19,WR
24278,56,DE
32412,94,DE
33697,43d,CB
30035,19,WR
29033,83,WR
31307,35,SS
33430,26,CB
31366,20,ILB
32519,41,LB
31592,54,DT
31420,9,P
28454,55,OLB
33693,59,DE
33449,19,WR
27894,53,MLB
33083,27,FS
30703,44,CB
29142,27,SS
31588,14,WR
33149,85,TE
33133,26,CB
32606,86,TE
30786,38,RB
33316,49d,FS
33562,10,WR
27218,44,RB
33966,84,TE
31521,20,CB
31113,75o,T
27875,75,T
33573,18,WR
32607,67,DE
33150,83,WR
27951,90,DT
33334,83,WR
29747,37,FS
29977,38,RB
26618,72,DE
33566,20,CB
31121,82,TE
31272,31,S
33318,47o,FB
31856,36,OLB
33283,54,OLB
29008,47,LS
32524,19,WR
31553,55,ILB
33408,91,DE
32689,45,TE
31757,13,WR
31161,59,OLB
32287,19,WR
33258,47,TE
25406,33,FS
31075,28,RB
32858,49,LB
27321,87,TE
33305,19,WR
30288,34,RB
31584,38,FS
30519,04d,CB
26144,20,RB
32366,44,ILB
33916,18,WR
32552,38D,CB
31313,59,MLB
30451,39d,CB
33845,36,CB
31433,70,G
30263,38,CB
30216,89,TE
27737,24,CB
30577,92,DT
33957,12,WR
32415,91,OLB
32137,36,DB
31583,97,DT
31591,41,DB
32891,26,CB
33616,39,RB
30659,10,WR
32440,38o,RB
34005,39,CB
31061,36,CB
31710,16,WR
29942,26,CB
32810,32D,CB
32465,01d,CB
32795,16,WR
28006,49,MLB
31218,21,CB
29553,20,FS
23449,56,ILB
30767,23,SS
32582,44,TE
30322,36,CB
33895,81,TE
31912,81,WR
32853,44d,LB
29946,95,NT
29388,14,WR
32546,28,CB
31089,94,DT
33019,28d,CB
33989,35,CB
31120,53,MLB
33315,83,TE
31084,47,LB
30656,34,RB
29314,49,CB
31687,31o,RB
30120,1,RB
23177,59,LS
30458,44,OLB
30025,96,DT
33013,40,FB
28059,31,FS
30290,83,WR
32064,18,WR
33384,39,RB
32629,43,ILB
31316,49d,LB
32710,37,CB
30469,35,CB
27657,58,OLB
31297,55,OLB
31885,35,RB
29578,57,MLB
31562,58,DE
32617,29,CB
28111,41,CB
33859,80,WR
33181,43,DB
26330,77,DT
31594,36,CB
26672,53,OLB
31487,19,WR
29048,22,RB
33878,25,CB
25549,87,TE
27705,21,CB
33173,35o,RB
29586,95,DE
32448,64,DE
31625,35,RB
33132,31,FS
26267,83,TE
29739,10,P
29815,47,OLB
32450,36,RB
33407,81,WR
32413,98,DE
32363,39,S
32689,49o,TE
32577,27,RB
32484,59,OLB
28368,49d,OLB
27825,49,TE
32652,26,CB
33365,3,P
33408,64,DE
31151,40,CB
33760,33,RB
33612,23D,CB
32190,83,TE
31731,30,RB
32068,42,FB
33087,18,WR
33186,47,LB
32772,29,CB
32121,9,WR
28011,38,RB
33843,12,WR
30089,82,TE
32084,49,OLB
32966,19,WR
32788,37,CB
21451,46s,LS
31256,55,OLB
32404,34,RB
31550,54,OLB
31559,37,SS
33390,29,CB
30403,28,CB
32375,40,FB
31982,96,DE
33595,96,DE
32997,80,TE
32497,69o,LS
31706,47,FB
33232,41,S
32511,38d,CB
33933,16,WR
30101,59d,OLB
33932,19,WR
31343,25,SS
29193,51,DE
33528,87,TE
19714,9,P
32764,2,RB
29261,26,CB
29065,41,CB
32963,16,WR
32406,44,ILB
31768,25,RB
32836,37d,CB
31255,91,OLB
30100,55,ILB
31871,71,OLB
31384,82,TE
29901,30,CB
32774,26,SS
33658,89,TE
32871,71d,NT
30131,49,OLB
32452,50,OLB
29747,32,FS
32056,44,DE
30530,22,SS
31097,38,CB
32725,89,TE
32964,34,RB
33474,4,WR
32998,52,OLB
31196,52,OLB
30703,29,CB
31130,52,OLB
32429,89,TE
29493,4,P
30414,32,RB
27796,14,QB
30235,46,OLB
32448,91,DE
27676,42,SS
29410,32,SS
26280,24,CB
30034,85,WR
33650,49,LB
26293,18,WR
32410,33,CB
32751,57,OLB
31744,81,TE
32946,49,CB
33464,80,WR
32066,28,CB
28942,29,SS
28256,96,DT
33935,91,DE
31326,12,WR
30432,32,RB
31243,36,RB
30041,21,CB
31856,36d,OLB
32479,40,FS
31831,85,TE
33293,33,RB
31059,42,FS
32059,26,CB
31578,47,ILB
29277,96,DE
31843,91,DE
33968,13,WR
31418,88,TE
23003,60,LS
33395,27d,CB
32218,17,WR
32675,49d,LB
29314,31,CB
33416,61,DE
29279,56,OLB
30251,96,DE
27356,15,WR
33992,14,WR
26725,57d,OLB
33292,81,WR
33868,95,DE
33367,83,WR
31371,97,DE
32102,50,OLB
33313,30,FS
29640,83,WR
33054,80,TE
33594,32,RB
30155,84,TE
31602,46,MLB
28105,81,WR
31653,60d,DT
32622,41,OLB
33877,29,FS
33770,19,CB
31862,49g,ILB
33385,47d,LB
32813,35,RB
33485,30,CB
32813,35O,RB
33867,56,LB
30743,17,WR
26019,39,RB
32789,59,OLB
33286,32,RB
32488,17,WR
30140,5,P
30435,37,CB
31317,78,DE
30469,27,CB
21451,46,LS
31693,96,DT
29689,83,TE
33755,12,WR
32926,80,WR
32479,40d,FS
30592,27,CB
30687,54,OLB
31904,37,CB
22684,8,P
33717,19,WR
32323,49d,ILB
32635,28,CB
30502,52,OLB
33131,96,DT
31554,54,MLB
31161,50,OLB
28002,18,WR
32801,18,WR
30734,39d,CB
32925,35d,CB
27011,53,MLB
29408,53,OLB
30802,41d,CB
31953,81,WR
33078,14,WR
31564,55,OLB
29620,54,ILB
28100,43,OLB
33306,17,WR
33015,85,WR
33862,5,K
31696,50,ILB
27247,47,LS
33076,30,SS
30101,59,OLB
31308,57,ILB
32162,97,DT
33809,39,CB
29048,36,RB
25405,25,CB
33864,83,WR
29892,44,FB
30210,55,MLB
29658,30,CB
32763,94,NT
32973,31,CB
32499,48,FB
32755,12,WR
33773,83,WR
31315,15,WR
32453,11,WR
31105,92,DE
33575,31,CB
31845,36,S
32346,32,CB
31296,57,ILB
31629,36,SS
33337,52,OLB
32691,14,WR
30148,71,NT
27787,97,DE
31186,27d,CB
31982,42,DE
30084,36,SS
31555,25,CB
30403,38,CB
25420,97,DT
33962,99,DE
32074,58,OLB
31383,37,CB
27010,23,SS
24349,50,DE
32829,37,CB
32188,88,TE
32499,47o,FB
33439,81,TE
31679,14,WR
31412,91,DE
33440,37,S
32525,47,FS
25660,61,LS
30832,45,TE
28198,41o,RB
32069,31,SS
27018,31,FS
31051,12,WR
30768,56,ILB
33621,47,S
33266,6,WR
29303,97,DE
31941,80,WR
33245,60o,C
30826,43d,CB
32248,54,ILB
30402,97,DT
33257,42o,RB
29112,95,DE
33683,41O,RB
30119,97,ILB
32987,41,CB
30499,95,OLB
27744,24,CB
30691,17,WR
27060,21,FS
32856,37,CB
28041,93,OLB
33584,98,DT
31347,39,FS
31388,99,DT
32009,11,WR
32139,83,TE
33205,43,LS
28091,17,WR
32617,30,CB
32968,44,MLB
33330,66,DE
31332,33o,RB
32367,40,OLB
32167,47,OLB
27710,25,FS
32611,42,RB
33934,92,DT
30828,86,T
29587,85,TE
32359,59,OLB
32937,19,WR
29416,35,CB
33270,49,OLB
31068,14,WR
31630,38d,CB
27840,36d,CB
33507,46,CB
31062,28,RB
30263,31,CB
32041,37,CB
32796,52,OLB
31914,72,DT
33545,30,CB
27057,19,WR
31281,77,DT
31058,53,ILB
34003,58,LB
31847,50,OLB
25825,6,P
32667,47d,DE
31209,32o,RB
33748,38,RB
32523,84,TE
32790,36,FS
27860,23,CB
31871,71d,OLB
33510,37,S
31054,90,DE
32250,82,WR
31835,45d,OLB
33912,99,DE
32602,85,WR
30433,35,RB
32668,40o,TE
32325,10,WR
29848,15,WR
29731,43,RB
26857,59,OLB
33813,35d,S
33923,27o,RB
30451,35,CB
32773,44,ILB
33920,95,DE
27825,81,TE
29981,16,DB
33384,46,RB
30049,87,TE
30521,17,WR
33251,16,WR
33976,90,DT
30246,52,ILB
27083,30,SS
29999,44,TE
33357,7,QB
32004,82,TE
32166,14,WR
32672,36o,RB
32679,8,WR
28698,53,OLB
30734,39,CB
33970,26,SS
28172,52,OLB
33313,30d,FS
31414,33,CB
32422,40,MLB
30946,61,DE
32841,80,WR
33179,6,WR
32433,68,T
29575,29,FS
33401,33,CB
33165,48,DB
33695,86,WR
33696,80,TE
29795,26o,RB
31999,51,OLB
25697,57,OLB
33074,93,OLB
30572,25,CB
32205,58,OLB
26190,93,DE
32794,40,FB
32521,48,CB
31665,34,RB
33368,53,ILB
32809,59,MLB
29888,23,CB
27662,96,DE
32719,98,DE
28943,58,ILB
30529,51,ILB
30060,32,SS
24341,58,DE
32788,24,CB
33964,97,DE
30874,26,RB
33882,22,CB
30385,51,ILB
31338,24,SS
33336,50,OLB
27651,22,RB
33974,51,OLB
33783,41,CB
30127,41,CB
25555,24,FS
29696,37,CB
33101,82,TE
29273,33,RB
33943,83,WR
29510,41,RB
33896,87,TE
32048,34,RB
33023,9,WR
31313,52,MLB
29792,58,OLB
31546,26,CB
32135,81,TE
32531,2,P
30247,38,RB
30147,19,WR
28292,43,RB
31090,24,CB
27150,11,WR
30458,59,OLB
32913,40d,CB
26035,80,WR
33330,66d,DE
32599,82,TE
32428,91,OLB
29934,14,WR
29981,37,DB
32728,88,WR
32729,94,OLB
33821,37,CB
30517,47,OLB
26145,90,NT
32702,88,WR
27008,90,DE
32708,56,LB
32537,13,WR
31063,43,FS
33035,38,RB
33956,55,ILB
30474,82,WR
30515,92,DE
31959,34,RB
28083,35,RB
31570,16,WR
32355,3,WR
30982,38,CB
32861,42,DB
27891,15,WR
32094,58,LB
33602,47,DB
33570,50,ILB
33950,30,RB
32375,38o,FB
32320,30,SS
27652,29,FS
33423,44d,LB
25753,27,SS
33514,49o,TE
27595,81,WR
32388,45,MLB
27753,49o,TE
31336,94,DE
30314,57,LB
32200,88,RB
30059,94,DE
32437,48d,OLB
32643,39d,CB
33061,83,TE
28005,56,ILB
